frame,time_seconds,plate_text,plate_confidence,car_box,plate_box_in_frame
93,3.72,LA8254S,0.1874,"(374, 348, 788, 716)","(482, 624, 573, 653)"
93,3.72,RED6L,0.1111,"(1517, 0, 1805, 243)","(1590, 185, 1652, 205)"
94,3.76,LA8254S,0.1874,"(374, 348, 788, 716)","(482, 624, 573, 653)"
94,3.76,D6D6L,0.0815,"(1511, 0, 1801, 246)","(1588, 189, 1651, 208)"
95,3.8,LA8254S,0.1874,"(374, 348, 788, 716)","(482, 624, 573, 653)"
95,3.8,76011,0.0896,"(1508, 0, 1797, 248)","(1587, 191, 1649, 212)"
96,3.84,LA8254S,0.1874,"(374, 348, 788, 716)","(482, 624, 573, 653)"
96,3.84,NEOUL,0.0369,"(1505, 0, 1793, 251)","(1586, 195, 1647, 215)"
97,3.88,LA8254S,0.1874,"(374, 348, 788, 716)","(482, 624, 573, 653)"
97,3.88,A6062,0.0636,"(1506, 0, 1788, 255)","(1584, 197, 1646, 218)"
98,3.92,L482545,0.1491,"(373, 349, 787, 716)","(481, 624, 573, 653)"
98,3.92,REO6,0.0801,"(1505, 0, 1783, 259)","(1582, 200, 1646, 222)"
99,3.96,L482545,0.1491,"(373, 349, 787, 716)","(481, 624, 573, 653)"
99,3.96,REO6L,0.0761,"(1500, 0, 1781, 261)","(1581, 203, 1646, 224)"
100,4.0,L482545,0.1491,"(373, 349, 787, 716)","(481, 624, 573, 653)"
100,4.0,R6061,0.2042,"(1497, 0, 1779, 263)","(1580, 207, 1644, 228)"
101,4.04,482545,0.0937,"(374, 348, 787, 716)","(482, 623, 574, 653)"
101,4.04,3606L,0.154,"(1496, 0, 1775, 266)","(1578, 210, 1644, 231)"
102,4.08,482545,0.1443,"(374, 348, 787, 716)","(482, 623, 574, 653)"
102,4.08,R606L,0.5728,"(1496, 0, 1771, 270)","(1576, 212, 1642, 234)"
103,4.12,482545,0.1354,"(374, 349, 787, 716)","(482, 623, 573, 653)"
103,4.12,R606L,0.417,"(1495, 0, 1769, 272)","(1575, 215, 1641, 237)"
104,4.16,E82545,0.1941,"(374, 348, 787, 716)","(482, 623, 574, 652)"
104,4.16,RC06L,0.0772,"(1493, 0, 1768, 274)","(1574, 219, 1640, 240)"
